STD 1
0 1 2.526689157
0 2 4.976556470
0 4 10.269145218
0 8 19.972876190
0 16 33.283999504
0 32 69.206691847
0 64 129.288600120
0 128 230.726150739
0 256 392.772500777
0 512 770.052406275
0 1024 1346.648574094
0 2048 1984.678028477
0 4096 2697.526074033
0 8192 3378.331063037
0 16384 3864.308254933
0 32768 4099.290238521
0 65536 4995.225749451
0 131072 5990.338347164
0 262144 5072.366977030
0 524288 5449.272476049
0 1048576 5670.357864844
0 2097152 5775.056364855
0 4194304 5886.680357688
0 8388608 5770.874415648
STD 2
0 1 0.018359733
0 2 0.036953610
0 4 0.075603269
0 8 0.150581832
0 16 0.300651800
0 32 0.589401303
0 64 1.170297194
0 128 0.133799833
0 256 4.722793337
0 512 9.368172066
0 1024 16.034747679
0 2048 21.836468876
0 4096 35.559148445
0 8192 12.914846170
0 16384 46.387767588
0 32768 154.199039864
0 65536 62.095611704
0 131072 103.837545567
0 262144 182.915658956
0 524288 141.568871372
0 1048576 187.659357433
0 2097152 204.394223623
0 4194304 221.272510631
0 8388608 228.83778121
BUFF 1
2 1 0.342689394
2 2 0.692593674
2 4 1.376874518
2 8 2.791840416
2 16 5.525352874
2 32 11.137245348
2 64 21.153306225
2 128 42.653232991
2 256 83.906565001
2 512 164.747498888
2 1024 313.415473575
2 2048 563.459140177
2 4096 931.410636162
2 8192 1330.226030507
2 16384 1726.132104267
2 32768 2034.870270806
2 65536 2451.886288483
2 131072 2489.159711528
2 262144 2729.785732151
2 524288 2899.869043157
2 1048576 2995.229093258
2 2097152 3042.203783635
2 4194304 2947.866886905
2 8388608 1712.669947927
BUFF 2
2 1 0.017000561
2 2 0.034369769
2 4 0.069642637
2 8 0.011721392
2 16 0.151256168
2 32 0.299128675
2 64 0.673573495
2 128 1.495868410
2 256 3.109940151
2 512 5.883093745
2 1024 1.422941729
2 2048 15.393527308
2 4096 24.598412022
2 8192 8.503179574
2 16384 124.742080780
2 32768 203.330672422
2 65536 61.692161210
2 131072 100.740508459
2 262144 111.043735976
2 524288 188.793924622
2 1048576 168.181247071
2 2097152 185.675900580
2 4194304 209.713365641
2 8388608 209.724580888
SYNC 1
1 1 0.950819836
1 2 2.313301069
1 4 4.920004692
1 8 9.766616554
1 16 18.254706290
1 32 39.702045628
1 64 79.683994360
1 128 151.471250079
1 256 303.799631901
1 512 550.107882933
1 1024 1016.409950244
1 2048 1529.819161532
1 4096 1598.871026896
1 8192 2286.362295230
1 16384 2697.393719091
1 32768 3027.956674862
1 65536 5057.027804280
1 131072 5908.930493687
1 262144 5060.213384001
1 524288 5410.591337184
1 1048576 5641.097630942
1 2097152 5756.299295085
1 4194304 5862.995682466
1 8388608 5684.313368021
SYNC 2
1 1 0.009440212
1 2 0.018938314
1 4 0.004090202
1 8 0.075673069
1 16 0.150788646
1 32 0.032499016
1 64 0.600973780
1 128 1.204247647
1 256 2.402970472
1 512 0.518465704
1 1024 8.645949538
1 2048 16.026202933
1 4096 4.092354200
1 8192 58.899274348
1 16384 60.785791245
1 32768 35.630910056
1 65536 335.145945532
1 131072 103.217982812
1 262144 111.507804763
1 524288 146.497903104
1 1048576 210.127013334
1 2097152 234.987125827
1 4194304 237.258470339
1 8388608 231.362520038
